history: worker_index=1, num_err_id_list=772
current progress: total_cnt=10, err_cnt=9
current progress: total_cnt=20, err_cnt=18
current progress: total_cnt=30, err_cnt=28
current progress: total_cnt=40, err_cnt=38
current progress: total_cnt=50, err_cnt=48
current progress: total_cnt=60, err_cnt=58
current progress: total_cnt=70, err_cnt=68
current progress: total_cnt=80, err_cnt=78
current progress: total_cnt=90, err_cnt=88
current progress: total_cnt=100, err_cnt=98
current progress: total_cnt=110, err_cnt=108
current progress: total_cnt=120, err_cnt=118
current progress: total_cnt=130, err_cnt=128
current progress: total_cnt=140, err_cnt=138
current progress: total_cnt=150, err_cnt=148
current progress: total_cnt=160, err_cnt=158
current progress: total_cnt=170, err_cnt=163
current progress: total_cnt=180, err_cnt=172
current progress: total_cnt=190, err_cnt=180
current progress: total_cnt=200, err_cnt=190
current progress: total_cnt=210, err_cnt=200
current progress: total_cnt=220, err_cnt=205
current progress: total_cnt=230, err_cnt=205
current progress: total_cnt=240, err_cnt=205
current progress: total_cnt=250, err_cnt=205
current progress: total_cnt=260, err_cnt=205
current progress: total_cnt=270, err_cnt=205
current progress: total_cnt=280, err_cnt=205
current progress: total_cnt=290, err_cnt=205
current progress: total_cnt=300, err_cnt=205
current progress: total_cnt=310, err_cnt=205
current progress: total_cnt=320, err_cnt=212
current progress: total_cnt=330, err_cnt=222
current progress: total_cnt=340, err_cnt=232
current progress: total_cnt=350, err_cnt=242
current progress: total_cnt=360, err_cnt=252
current progress: total_cnt=370, err_cnt=262
current progress: total_cnt=380, err_cnt=272
current progress: total_cnt=390, err_cnt=282
current progress: total_cnt=400, err_cnt=292
current progress: total_cnt=410, err_cnt=302
current progress: total_cnt=420, err_cnt=312
current progress: total_cnt=430, err_cnt=322
current progress: total_cnt=440, err_cnt=332
current progress: total_cnt=450, err_cnt=342
current progress: total_cnt=460, err_cnt=352
current progress: total_cnt=470, err_cnt=362
current progress: total_cnt=480, err_cnt=372
current progress: total_cnt=490, err_cnt=382
current progress: total_cnt=500, err_cnt=392
current progress: total_cnt=510, err_cnt=402
current progress: total_cnt=520, err_cnt=412
current progress: total_cnt=530, err_cnt=422
current progress: total_cnt=540, err_cnt=432
current progress: total_cnt=550, err_cnt=442
current progress: total_cnt=560, err_cnt=452
current progress: total_cnt=570, err_cnt=462
current progress: total_cnt=580, err_cnt=472
current progress: total_cnt=590, err_cnt=482
current progress: total_cnt=600, err_cnt=492
current progress: total_cnt=610, err_cnt=502
current progress: total_cnt=620, err_cnt=512
current progress: total_cnt=630, err_cnt=522
current progress: total_cnt=640, err_cnt=532
current progress: total_cnt=650, err_cnt=542
current progress: total_cnt=660, err_cnt=552
current progress: total_cnt=670, err_cnt=562
current progress: total_cnt=680, err_cnt=572
current progress: total_cnt=690, err_cnt=582
current progress: total_cnt=700, err_cnt=592
current progress: total_cnt=710, err_cnt=602
current progress: total_cnt=720, err_cnt=612
current progress: total_cnt=730, err_cnt=622
current progress: total_cnt=740, err_cnt=632
current progress: total_cnt=750, err_cnt=642
current progress: total_cnt=760, err_cnt=652
current progress: total_cnt=770, err_cnt=662
finally: total_cnt=772, err_cnt=665
