history: worker_index=18, num_err_id_list=665
current progress: total_cnt=10, err_cnt=7
current progress: total_cnt=20, err_cnt=17
current progress: total_cnt=30, err_cnt=27
current progress: total_cnt=40, err_cnt=37
current progress: total_cnt=50, err_cnt=47
current progress: total_cnt=60, err_cnt=57
current progress: total_cnt=70, err_cnt=67
current progress: total_cnt=80, err_cnt=77
current progress: total_cnt=90, err_cnt=87
current progress: total_cnt=100, err_cnt=97
current progress: total_cnt=110, err_cnt=107
current progress: total_cnt=120, err_cnt=117
current progress: total_cnt=130, err_cnt=127
current progress: total_cnt=140, err_cnt=137
current progress: total_cnt=150, err_cnt=147
current progress: total_cnt=160, err_cnt=157
current progress: total_cnt=170, err_cnt=167
current progress: total_cnt=180, err_cnt=177
current progress: total_cnt=190, err_cnt=187
current progress: total_cnt=200, err_cnt=197
current progress: total_cnt=210, err_cnt=202
current progress: total_cnt=220, err_cnt=210
current progress: total_cnt=230, err_cnt=220
current progress: total_cnt=240, err_cnt=230
current progress: total_cnt=250, err_cnt=240
current progress: total_cnt=260, err_cnt=250
current progress: total_cnt=270, err_cnt=260
current progress: total_cnt=280, err_cnt=270
current progress: total_cnt=290, err_cnt=280
current progress: total_cnt=300, err_cnt=290
current progress: total_cnt=310, err_cnt=300
current progress: total_cnt=320, err_cnt=310
current progress: total_cnt=330, err_cnt=320
current progress: total_cnt=340, err_cnt=330
current progress: total_cnt=350, err_cnt=340
current progress: total_cnt=360, err_cnt=350
current progress: total_cnt=370, err_cnt=360
current progress: total_cnt=380, err_cnt=370
current progress: total_cnt=390, err_cnt=380
current progress: total_cnt=400, err_cnt=390
current progress: total_cnt=410, err_cnt=400
current progress: total_cnt=420, err_cnt=410
current progress: total_cnt=430, err_cnt=420
current progress: total_cnt=440, err_cnt=430
current progress: total_cnt=450, err_cnt=440
current progress: total_cnt=460, err_cnt=450
current progress: total_cnt=470, err_cnt=460
current progress: total_cnt=480, err_cnt=470
current progress: total_cnt=490, err_cnt=480
current progress: total_cnt=500, err_cnt=490
current progress: total_cnt=510, err_cnt=500
current progress: total_cnt=520, err_cnt=510
current progress: total_cnt=530, err_cnt=520
current progress: total_cnt=540, err_cnt=530
current progress: total_cnt=550, err_cnt=540
current progress: total_cnt=560, err_cnt=550
current progress: total_cnt=570, err_cnt=560
current progress: total_cnt=580, err_cnt=570
current progress: total_cnt=590, err_cnt=580
current progress: total_cnt=600, err_cnt=590
current progress: total_cnt=610, err_cnt=600
current progress: total_cnt=620, err_cnt=610
current progress: total_cnt=630, err_cnt=620
current progress: total_cnt=640, err_cnt=630
current progress: total_cnt=650, err_cnt=640
current progress: total_cnt=660, err_cnt=650
finally: total_cnt=665, err_cnt=656
