history: worker_index=0, num_err_id_list=653
current progress: total_cnt=10, err_cnt=8
current progress: total_cnt=20, err_cnt=18
current progress: total_cnt=30, err_cnt=28
current progress: total_cnt=40, err_cnt=38
current progress: total_cnt=50, err_cnt=48
current progress: total_cnt=60, err_cnt=58
current progress: total_cnt=70, err_cnt=68
current progress: total_cnt=80, err_cnt=78
current progress: total_cnt=90, err_cnt=88
current progress: total_cnt=100, err_cnt=98
current progress: total_cnt=110, err_cnt=108
current progress: total_cnt=120, err_cnt=118
current progress: total_cnt=130, err_cnt=128
current progress: total_cnt=140, err_cnt=138
current progress: total_cnt=150, err_cnt=148
current progress: total_cnt=160, err_cnt=158
current progress: total_cnt=170, err_cnt=168
current progress: total_cnt=180, err_cnt=178
current progress: total_cnt=190, err_cnt=188
current progress: total_cnt=200, err_cnt=198
current progress: total_cnt=210, err_cnt=208
current progress: total_cnt=220, err_cnt=218
current progress: total_cnt=230, err_cnt=228
current progress: total_cnt=240, err_cnt=238
current progress: total_cnt=250, err_cnt=248
current progress: total_cnt=260, err_cnt=258
current progress: total_cnt=270, err_cnt=268
current progress: total_cnt=280, err_cnt=278
current progress: total_cnt=290, err_cnt=288
current progress: total_cnt=300, err_cnt=298
current progress: total_cnt=310, err_cnt=308
current progress: total_cnt=320, err_cnt=318
current progress: total_cnt=330, err_cnt=328
current progress: total_cnt=340, err_cnt=338
current progress: total_cnt=350, err_cnt=348
current progress: total_cnt=360, err_cnt=358
current progress: total_cnt=370, err_cnt=368
current progress: total_cnt=380, err_cnt=378
current progress: total_cnt=390, err_cnt=388
current progress: total_cnt=400, err_cnt=398
current progress: total_cnt=410, err_cnt=408
current progress: total_cnt=420, err_cnt=418
current progress: total_cnt=430, err_cnt=428
current progress: total_cnt=440, err_cnt=438
current progress: total_cnt=450, err_cnt=448
current progress: total_cnt=460, err_cnt=458
current progress: total_cnt=470, err_cnt=468
current progress: total_cnt=480, err_cnt=478
current progress: total_cnt=490, err_cnt=488
current progress: total_cnt=500, err_cnt=498
current progress: total_cnt=510, err_cnt=508
current progress: total_cnt=520, err_cnt=518
current progress: total_cnt=530, err_cnt=528
current progress: total_cnt=540, err_cnt=538
current progress: total_cnt=550, err_cnt=548
current progress: total_cnt=560, err_cnt=558
current progress: total_cnt=570, err_cnt=568
current progress: total_cnt=580, err_cnt=578
current progress: total_cnt=590, err_cnt=588
current progress: total_cnt=600, err_cnt=598
current progress: total_cnt=610, err_cnt=608
current progress: total_cnt=620, err_cnt=618
current progress: total_cnt=630, err_cnt=628
current progress: total_cnt=640, err_cnt=638
current progress: total_cnt=650, err_cnt=648
finally: total_cnt=653, err_cnt=652
